#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-140558.6,200,11.36836
-1628404.2,200,20.587379
-1673731.2,200,29.893163
-1660245.8,200,37.767762
-1642314.6,200,45.747702
-1721362.1,200,54.404681
-151559.8,200,61.840556
-653778.3,200,70.824077
-1722221.0,200,80.512585
-711694.9,200,88.161888
-1650844.8,200,95.350273
-1666843.3,200,104.463135
-667589.3,200,113.550188
-669890.2,200,120.830462
-663604.9,200,129.421373
-673353.1,200,137.765128
-1623175.8,200,147.941289
-1715937.1,200,159.364071
-1712072.4,200,171.83684
-1657697.8,200,182.869434
-1656416.8,200,201.014104
-1665966.2,200,211.919696
-656564.3,200,222.239122
-120578.5,200,232.088274
-1663607.9,200,243.499412
-709862.3,200,254.150762
-1607810.1,200,264.528323
-1659965.7,200,276.233447
-1827809.6,200,288.776707
-1613227.4,200,300.85557
-656434.8,200,310.595297
-147924.7,200,318.950928
-1729742.5,200,329.139095
-640246.6,200,338.50646
-1659662.0,200,349.382988
-652584.1,200,360.561392
-673176.7,200,371.510839
-1665777.2,200,382.316664
-1664891.7,200,392.813794
-1735626.7,200,401.283006
-1720564.1,200,412.500289
-1740644.3,200,420.396786
-153187.3,200,427.624042
-2152480.2,200,436.486783
-1645368.7,200,444.023826
-1712590.4,200,451.590124
-1602548.9,200,458.565048
-639251.2,200,465.630983
-722520.4,200,474.489094
-1663110.8,200,482.278531
-1611389.2,200,491.48206
-1652022.2,200,501.684183
-721106.4,200,511.352209
-1726118.6,200,520.690586
-1621827.0,200,529.421871
-140132.3,200,537.249867
-1668518.4,200,546.155983
-1696345.5,200,555.929338
-1646359.9,200,565.142046
-673974.7,200,574.30197
-177162.3,200,584.74297
-1714379.6,200,600.609613
-1650653.8,200,611.827556
-1657097.2,200,622.500277
-744879.1,200,633.561965
-659210.3,200,644.309972
-1644637.2,200,655.011151
-1736057.2,200,666.059503
-1635698.9,200,677.098799
-1647469.4,200,688.848217
-1665282.3,200,701.108185
-1621425.2,200,710.681916
-744743.3,200,720.68233
-1659373.6,200,729.900905
-1711114.1,200,740.307393
-734652.8,200,750.706491
-1667988.5,200,760.980032
-1700600.7,200,771.829665
-1653188.4,200,782.123272
-173555.9,200,790.768008
-749725.2,200,800.379549
-1991496.2,200,814.476954
-1737301.1,200,823.718482
-1687387.5,200,833.385705
-1667405.3,200,844.257081
-1731553.4,200,853.401672
-1648541.1,200,860.551231
-1661054.3,200,867.843349
-1662167.3,200,874.560024
-894520.2,200,881.4248
-1634586.7,200,888.228262
-1727956.8,200,895.255958
-1676158.1,200,902.201922
-1737705.0,200,909.042119
-1709421.5,200,915.686093
-1747498.6,200,922.486257
-1612978.2,200,928.807217
-2059474.6,200,935.876304
-1735873.8,200,943.166623
-735842.1,200,950.400106
-1657025.1,200,957.142452
-106089.9,200,963.609141
-1662013.2,200,974.297816
-1677382.4,200,980.904249
-1664151.1,200,987.833417
-1824680.7,200,994.684476
-530070.1,200,1001.438998
-1647812.4,200,1008.01117
-651137.2,200,1014.511804
-1729606.0,200,1021.684072
-728889.0,200,1028.454518
-680395.1,200,1034.932129
-637164.5,200,1041.353666
-1679596.5,200,1048.431248
-1716074.4,200,1055.006838
-976649.1,200,1062.025583
-632985.5,200,1068.892112
-1617233.6,200,1075.973456
-663334.7,200,1083.008993
-1670130.4,200,1089.914569
-1670976.1,200,1096.91519
-1651189.9,200,1103.941929
-724697.4,200,1114.751158
-143749.2,200,1120.808587
-2357674.0,200,1128.389433
-1671920.4,200,1138.885445
-1656446.9,200,1148.061736
-1726024.1,200,1157.689052
-1586549.1,200,1166.588443
-741428.1,200,1177.215306
-938786.8,200,1187.702012
-1635980.3,200,1197.193842
-1723444.6,200,1206.614314
-711641.7,200,1214.553276
-148931.3,200,1222.819967
-1675049.3,200,1231.510701
-1619008.1,200,1241.667702
-166913.4,200,1250.909285
-1636391.2,200,1258.603543
-655944.8,200,1265.967289
-1944419.8,200,1274.411515
-1599627.1,200,1281.539122
-1667441.8,200,1288.663918
-1716344.4,200,1299.657357
-666234.1,200,1306.952379
-665626.5,200,1313.844865
-718622.1,200,1321.044897
-1591393.7,200,1327.606378
-731054.1,200,1334.743789
-747739.2,200,1341.637861
-1659232.9,200,1348.207982
-595711.2,200,1354.929621
-713438.6,200,1361.516354
-159731.6,200,1368.658238
-675235.4,200,1377.763757
-715399.3,200,1386.34336
-1743094.9,200,1395.374597
-1647883.0,200,1402.665226
-1583023.8,200,1409.52669
-1664307.2,200,1416.331742
-680935.5,200,1423.469646
-649143.6,200,1430.767215
-652431.5,200,1438.830461
-723854.6,200,1450.000506
-1667127.5,200,1458.1485
-1663774.5,200,1465.647084
-684999.0,200,1473.790012
-1698884.4,200,1482.348301
-1663033.2,200,1490.727086
-613825.1,200,1498.977179
-1738652.1,200,1508.685085
-1703507.2,200,1517.252872
-1606779.7,200,1524.765422
-1711041.3,200,1532.022947
-1661982.5,200,1539.628926
-198247.0,200,1548.489454
-1723500.6,200,1556.051293
-1158220.7,200,1565.335011
-667723.7,200,1573.089839
-1724984.6,200,1581.28424
-665264.6,200,1588.629601
-1653443.2,200,1596.346301
-732792.9,200,1604.457497
-705196.8,200,1613.068706
-1674266.8,200,1629.159858
-1667635.0,200,1637.60729
-658244.3,200,1645.460197
-1635911.7,200,1653.358202
-1627910.0,200,1660.760899
-732004.7,200,1668.076401
-610616.3,200,1675.290759
-677786.2,200,1682.362666
-1715974.2,200,1689.640526
-1713234.4,200,1696.946025
-1740881.6,200,1704.633347
-653664.9,200,1711.818999
-1672729.6,200,1718.931346
-672345.1,200,1726.132925
-1666799.9,200,1733.197283
-1857206.9,200,1741.520825
-1621730.4,200,1748.638058
-122927.7,200,1755.640207
-614373.2,200,1762.956539
-666810.2,200,1770.021103
-1644122.0,200,1780.95775
-1720795.7,200,1788.813742
-1608018.0,200,1795.975669
-624383.8,200,1803.104173
-647420.9,200,1810.226437
-1808343.3,200,1817.391522
-1636292.5,200,1824.774408
-1658862.6,200,1831.843411
-680157.1,200,1838.938593
-1652216.1,200,1846.123308
-1738719.3,200,1853.523481
-1640615.0,200,1860.875123
-1671863.7,200,1868.095517
-726870.2,200,1875.133189
-1679446.7,200,1882.221928
-735030.1,200,1889.597939
-662161.5,200,1896.482366
-719046.1,200,1903.677071
-1632370.5,200,1910.873655
-627050.9,200,1918.421684
-1287153.0,200,1927.384968
-1646518.9,200,1939.943577
-1686575.5,200,1947.046339
-1666092.2,200,1954.676517
-1725654.5,200,1962.578258
-1742882.2,200,1970.02701
-1706138.5,200,1977.112464
-1668176.8,200,1984.158829
-2071153.4,200,1991.859815
-723093.7,200,1999.197679
-1797468.8,200,2006.728996
-1671853.2,200,2014.191144
-1719831.2,200,2021.58001
-681895.9,200,2028.919791
-1698830.5,200,2036.108233
-724487.4,200,2043.450201
-118758.5,200,2050.359969
-1560709.9,200,2057.581937
-1710180.4,200,2064.694408
-1714098.9,200,2072.040402
-657612.9,200,2079.006642
-651702.1,200,2089.894319
-1725103.6,200,2097.014869
-1701523.5,200,2104.446278
-710002.3,200,2111.641751
-1717754.3,200,2118.709535
-1703672.4,200,2126.227851
-1726173.2,200,2133.328462
-1742157.0,200,2140.568867
-1715949.7,200,2147.43096
-1630830.3,200,2154.515313
-730288.3,200,2161.787071
-1730109.2,200,2168.648946
-634180.4,200,2176.619491
-1726936.2,200,2184.907692
-1673879.7,200,2192.875045
-1648458.5,200,2202.177538
-1940845.0,200,2212.85477
-707616.7,200,2222.235685
-664427.4,200,2231.722608
-1677864.8,200,2240.704976
-1666937.7,200,2248.961157
-202287.4,200,2261.478314
-745332.7,200,2269.408596
-1720015.3,200,2277.062427
-1664695.7,200,2284.734665
-1607812.3,200,2292.074188
-1723044.2,200,2299.321274
-659785.0,200,2306.323375
-1753475.2,200,2315.8986
-730578.8,200,2323.755206
-1672084.8,200,2331.269917
-1648266.7,200,2338.518968
-686562.1,200,2345.663868
-1724304.9,200,2353.956379
-1624932.9,200,2361.500758
-1671118.2,200,2369.963153
-723988.3,200,2377.718709
-1652522.0,200,2385.302626
-1728832.5,200,2392.38258
-116274.9,200,2399.275106
-2234253.5,200,2408.898587
-672222.6,200,2419.984147
-732165.0,200,2427.817974
-1603158.6,200,2435.30364
-835139.9,200,2442.953939
-727689.2,200,2450.444753
-1748888.1,200,2458.030974
