#{"t_start": 1771556126.2569082, "env_id": "None"}
r,l,t
-1904875.5,200,7.169547
-1723838.7,200,12.52696
-144160.1,200,17.038536
-1671795.0,200,22.329466
-1608838.4,200,27.668826
-674602.6,200,32.172514
-232428.5,200,36.833382
-1729001.9,200,42.295499
-994498.4,200,46.699912
-648804.8,200,51.214401
-135741.2,200,56.738939
-1735114.3,200,62.273554
-726067.3,200,66.771404
-624827.7,200,71.043637
-663821.2,200,75.544535
-1722980.5,200,81.773011
-1684160.6,200,87.827787
-1656226.4,200,93.201018
-660033.5,200,97.872025
-1662989.7,200,103.39504
-668686.2,200,108.908675
-1682155.0,200,114.278198
-1629193.8,200,119.725748
-1628931.3,200,125.377813
-595163.1,200,130.49852
-713417.6,200,136.303511
-1733015.7,200,143.705786
-706946.1,200,150.460885
-137307.8,200,156.684245
-720272.7,200,164.133363
-1700973.9,200,172.942478
-1725575.4,200,178.277905
-1716119.1,200,184.474674
-1641333.8,200,189.646153
-650531.7,200,194.312676
-720590.5,200,199.443394
-732720.1,200,204.091565
-1722547.9,200,209.098254
-2236841.4,200,214.388893
-1730325.5,200,219.524318
-1610260.1,200,226.670654
-1732120.4,200,232.55705
-1680064.8,200,237.889045
-623091.7,200,242.361365
-673608.6,200,246.677542
-732162.2,200,251.091044
-658553.7,200,255.333041
-1721824.1,200,260.686938
-1661974.1,200,265.865853
-1876604.7,200,271.20381
-730409.4,200,275.866673
-1732980.7,200,282.794516
-736659.7,200,287.251256
-739120.9,200,291.570724
-637018.9,200,295.815356
-1671904.2,200,300.943218
-1940230.3,200,306.352514
-1596927.2,200,311.463853
-1750274.2,200,316.898463
-1722132.1,200,322.068138
-174537.3,200,326.222912
-1859055.5,200,332.418058
-721452.9,200,336.850887
-672184.1,200,341.296907
-1632642.7,200,346.435695
-132148.8,200,350.81209
-706274.8,200,355.192198
-1667900.2,200,360.388714
-658238.0,200,364.839678
-625970.8,200,369.359388
-1235407.6,200,373.748465
-644394.1,200,378.898314
-1669182.7,200,384.639462
-629330.8,200,389.238658
-141066.8,200,393.874303
-671442.1,200,399.506691
-1632530.0,200,405.479496
-647864.7,200,410.24983
-681144.1,200,414.863102
-741036.8,200,420.089315
-729561.7,200,424.612246
-634019.4,200,429.92365
-125913.1,200,434.788025
-1563762.0,200,440.131718
-722091.3,200,444.801995
-752673.6,200,449.534789
-1712568.7,200,455.157991
-667200.8,200,459.936871
-1664347.1,200,465.611819
-1688700.0,200,471.615479
-1664722.9,200,478.752431
-704633.3,200,485.157726
-678963.6,200,495.120756
-1800347.9,200,501.15403
-718620.7,200,506.118374
-1642100.4,200,512.046409
-130955.3,200,516.734715
-703871.0,200,521.422042
-1682676.5,200,527.242771
-919473.7,200,531.911677
-1723761.0,200,537.859717
-648646.6,200,542.618108
-731259.2,200,548.948385
-1892717.2,200,554.863337
-591355.1,200,559.71786
-1663528.8,200,565.383838
-123123.7,200,570.175881
-682923.4,200,574.829847
-1731897.8,200,580.825092
-687221.0,200,587.241806
-669988.9,200,593.799404
-710313.1,200,601.095403
-113101.8,200,607.326907
-1657527.0,200,613.298146
-161642.6,200,618.152709
-1644673.0,200,624.157151
-1650107.0,200,630.227785
-1668928.6,200,635.89499
-1807552.5,200,641.707094
-739340.7,200,646.331116
-1668654.9,200,651.879233
-1543204.5,200,657.715771
-1658178.1,200,665.449625
-136560.9,200,670.173561
-746741.0,200,675.003525
-1646936.7,200,680.801478
-1728160.5,200,686.50564
-1704146.3,200,692.40729
-1131336.5,200,697.662724
-1748694.3,200,703.587189
-1589745.9,200,709.130572
-1648603.4,200,714.931786
-1703655.6,200,720.912665
-1624893.7,200,730.064122
-663595.8,200,736.923679
-733642.0,200,743.835023
-1738507.9,200,750.059155
-1733526.6,200,756.389771
-1723846.3,200,762.432468
-1721917.9,200,768.428921
-1741611.0,200,774.338316
-1147233.5,200,779.436028
-1711653.1,200,786.06505
-719945.8,200,792.994388
-1750962.3,200,799.816182
-680724.1,200,806.252167
-1678202.8,200,814.481916
-1717928.6,200,823.609095
-1664270.1,200,831.799023
-705833.8,200,837.08944
-1737549.6,200,843.648539
-1668010.2,200,849.719804
-1562482.3,200,855.623642
-672623.7,200,861.929254
-1644703.0,200,867.736876
-723720.9,200,872.640932
-661902.4,200,877.329998
-1732467.6,200,883.222243
-125188.7,200,888.025642
-653685.2,200,892.589453
-715316.7,200,897.310963
-1671485.7,200,903.340794
-1734907.1,200,909.444098
-1651978.8,200,916.289806
-698084.1,200,921.149845
-1737196.8,200,926.932393
-1649160.6,200,932.970753
-1647970.7,200,938.948864
